Store ID,Store Name,Cumulative Main Cameras,Cumulative Additional Cameras
121,Telford Frasers,1,1
122,Stafford Riverside Sports Direct,1,0
125,Belfast Yorkgate Sports Direct,1,0
126,York Monks Cross Sports Direct,1,0
127,York Coney Street SD,1,0
128,Yate Sports Direct,1,0
129,Yardley Sports Direct,1,0
131,Worcester St Martins Sports Direct,1,0
132,Wood Green Sports Direct,1,0
133,Wood Green Sports Direct,1,0
134,Woking Sports Direct,1,0
135,Manchester Arndale Sports Direct,1,0
136,Manchester Arndale Sports Direct,1,0
137,Manchester Arndale Sports Direct,1,0
138,Manchester Arndale Sports Direct,1,0
139,Manchester Arndale Sports Direct,1,0
140,205 Woodhall B&M,1,0
141,091 Skelton B&M,1,0
142,870 Yiewsley B&M,1,1
144,508 Yeovil B&M,1,0

